Feature_GID,T0,T1,T3,T6,T24
Sto_073800,8.350977,7.882786,8.023528,8.674155,8.660357
Sto_066570,7.964827,7.753299,7.633690,8.697859,8.649138
Sto_130270,6.022050,4.278622,5.691887,5.026329,5.321789
Sto_275950,10.418152,10.460710,10.087643,10.265192,10.376393
Sto_330200,7.003881,6.321190,6.675069,6.409766,5.988717
Sto_024730,7.005950,7.063312,6.673611,7.580603,7.582526
Sto_091070,7.237373,5.963028,6.908306,7.389490,7.252450
Sto_210980,10.133294,9.920543,9.802695,9.806943,9.706955
Sto_084980,11.912980,13.055497,11.581909,10.880962,11.045419
Sto_177040,9.158425,9.056795,8.825775,9.003965,9.324020
Sto_114680,8.209151,7.632616,7.871917,8.174839,8.118322
Sto_040210,10.336043,9.988812,10.004363,10.075754,10.061869
Sto_009480,10.253670,9.715851,9.920401,10.042787,10.156409
Sto_009580,12.542322,12.364192,12.209962,11.406498,11.801010
Sto_018940,7.952130,8.818971,7.619258,7.039292,7.512222
Sto_144030,8.644463,8.435925,8.312984,9.405773,9.241393
Sto_004460,8.633665,7.072757,8.301327,9.391683,8.967518
Sto_316660,11.304879,11.044208,10.971434,11.095444,11.287944
Sto_033110,8.777982,8.202179,8.440716,8.491750,8.592984
Sto_023860,9.739002,10.217521,9.405449,10.138142,10.030171
Sto_315670,7.877597,8.365496,7.544181,7.976074,7.646770
Sto_009310,10.751460,10.483185,10.417072,11.322771,11.098775
Sto_076040,4.327709,4.016998,3.998497,3.994820,4.366325
Sto_168820,7.723624,8.309216,7.385369,7.715764,8.056663
Sto_142380,10.258450,9.489816,9.923590,10.518599,10.240122
Sto_037250,4.363445,4.558487,4.020587,3.534660,4.039347
Sto_234250,8.580550,8.525512,8.247101,8.387966,8.429146
Sto_219380,6.903769,4.732345,6.571647,6.013308,6.996385
Sto_199110,11.561594,10.026741,11.225636,11.558425,12.640627
Sto_207740,9.648355,9.944179,9.312484,9.143292,9.734920
Sto_039760,8.838130,8.591741,8.499375,8.503544,8.370200
Sto_043300,9.744173,9.561638,9.410167,10.075968,9.813216
Sto_258850,7.412289,6.901841,7.076970,7.319467,7.119877
Sto_279840,10.875714,10.255337,10.539101,10.871155,10.950853
Sto_206050,12.114613,12.165021,11.777893,11.617447,11.700939
Sto_115310,4.489864,4.611790,4.137947,4.656663,3.872613
Sto_064730,10.612435,10.731295,10.276095,10.334305,10.674089
Sto_282000,10.065358,9.751225,9.729045,10.591647,10.312249
Sto_144070,10.965449,10.446889,10.628207,10.562104,10.615277
Sto_126220,10.024214,9.684940,9.687385,10.550166,9.971147
Sto_406300,10.349066,10.874111,10.011973,8.841922,10.196640
Sto_161980,7.778178,7.371658,7.434448,8.100167,7.878218
Sto_260600,3.584499,3.455628,3.220922,2.707355,3.265954
Sto_180450,9.525710,9.242748,9.187712,8.761274,8.922594
Sto_351830,9.891587,8.742009,9.552408,9.247970,11.197538
Sto_188040,10.593869,9.752711,10.255367,9.993787,10.376425
Sto_084570,11.602335,11.665200,11.264152,11.029912,11.463239
Sto_383780,3.541138,2.841748,3.178717,3.035105,3.269797
Sto_406280,6.139300,7.431782,5.795833,5.444830,6.058390
Sto_221960,5.982967,5.561901,5.655008,6.094717,6.122341
Sto_207970,10.507784,9.606555,10.167620,10.891422,10.047450
Sto_081080,10.499800,10.793665,10.159196,9.378455,9.718943
Sto_343310,7.543553,6.186961,7.197703,6.922793,7.252792
Sto_237330,4.002542,4.305807,3.639965,4.406356,5.116001
Sto_258690,13.589068,13.908340,13.247758,12.641629,12.677170
Sto_211210,6.455572,6.188588,6.112093,6.888273,7.194542
Sto_135900,6.133785,5.981715,5.804467,5.964687,6.143243
Sto_068380,8.817094,8.782165,8.475379,8.422569,9.380231
Sto_100930,6.727220,6.634285,6.382927,6.745220,6.303187
Sto_353840,9.105052,9.045931,8.762068,9.023505,9.226145
Sto_377850,9.340850,8.728563,8.997715,10.057445,9.886445
Sto_099460,8.724846,8.198028,8.381375,9.114089,8.972654
Sto_247550,8.144115,8.353712,7.795256,8.075196,8.543750
Sto_342030,9.584167,9.706360,9.241027,9.323081,9.751677
Sto_165250,8.687867,8.549489,8.341880,9.001359,9.193001
Sto_263030,9.258757,8.624212,8.915750,9.062879,9.109538
Sto_056240,7.670077,7.098911,7.331579,8.420054,7.802679
Sto_166250,9.259815,9.625555,8.917009,8.830141,8.936353
Sto_167350,11.710445,10.467323,11.367023,9.619720,10.017033
Sto_124050,5.976534,5.303001,5.626796,5.527111,5.807369
Sto_096080,10.326382,10.407762,9.981845,10.303255,10.447329
Sto_001390,10.700563,10.435626,10.356767,10.344287,10.399789
Sto_346490,10.071717,10.180564,9.727896,9.780151,9.991978
Sto_235550,7.395208,7.795007,7.054321,7.520126,7.179274
Sto_255240,10.928680,11.195298,10.583209,11.074523,11.233862
Sto_113160,8.033975,7.044048,7.684407,7.920732,7.942218
Sto_076880,8.113972,7.593857,7.766618,8.100371,8.141642
Sto_169730,10.287228,10.127708,9.941586,10.318935,10.394971
Sto_286230,11.383318,11.529295,11.038015,10.979371,11.143852
Sto_020710,8.533594,8.059826,8.185593,8.322260,8.366632
Sto_080390,5.159477,4.648375,4.821038,4.581451,5.011436
Sto_379280,8.166614,7.360200,7.818983,7.821343,8.064830
Sto_391210,7.880472,7.500837,7.534467,8.309571,8.463429
Sto_080100,13.514525,14.210103,13.168138,12.160269,12.328335
Sto_248370,5.896408,4.812783,5.549967,5.164924,6.248086
Sto_164360,10.178730,9.677468,9.831223,9.852070,9.908240
Sto_259060,5.339262,6.215465,4.993480,6.224899,5.676101
Sto_289740,9.395661,9.074292,9.046659,9.196762,8.848724
Sto_381560,10.926159,9.558907,10.578442,10.198766,10.539434
Sto_261900,12.625114,12.968889,12.277461,12.812091,14.480056
Sto_382770,6.592762,6.546261,6.244145,5.250629,6.249278
Sto_337400,10.534572,9.143476,10.186298,10.179013,10.141161
Sto_262260,6.029614,5.985809,5.689223,5.316975,4.879358
Sto_028000,8.650224,8.481189,8.300259,8.691344,8.744843
Sto_162920,9.332254,8.645663,8.984072,8.736421,9.027270
Sto_319650,9.329776,9.235583,8.981279,8.599062,9.522274
Sto_368820,8.341912,8.288050,7.991117,8.272547,8.501393
Sto_007500,10.738972,11.002825,10.390127,10.759654,10.959988
Sto_112650,10.377759,9.748435,10.028429,11.224217,10.906748
Sto_245610,8.589591,8.701075,8.236853,8.444088,9.102822
Sto_182670,6.229933,5.642251,5.876360,5.570888,5.450262
Sto_130820,5.772770,6.374916,5.430750,5.265647,4.710366
Sto_168210,9.443144,8.918022,9.091076,8.894805,9.170135
Sto_316860,6.871527,6.039142,6.527760,7.263035,6.945439
Sto_074260,6.849477,6.441924,6.503556,8.373065,7.437664
Sto_114800,9.052584,8.850830,8.702187,9.191289,8.760610
Sto_297640,11.798455,12.154549,11.448046,11.048181,11.425266
Sto_121210,7.030454,6.347526,6.683578,7.129362,7.085540
Sto_102490,11.015476,10.898111,10.664003,10.914817,11.147241
Sto_170680,5.181784,4.696715,4.828517,4.774079,4.326437
Sto_208210,10.361714,10.319143,10.010866,10.153587,10.277817
Sto_095400,4.812777,5.207131,4.449929,4.800283,5.006783
Sto_132490,10.015451,10.228203,9.664247,9.458377,9.819449
Sto_124330,7.542469,7.015417,7.190249,7.723925,7.762753
Sto_351740,5.730783,5.832743,5.368294,3.849338,4.176980
Sto_082700,7.379377,6.692474,7.019499,7.794004,7.710157
Sto_316400,10.289382,9.900822,9.938385,9.846183,10.111206
Sto_329130,9.627920,9.541342,9.275861,9.123737,9.283678
Sto_013040,7.948082,8.005609,7.596235,8.356311,8.041856
Sto_324260,6.604260,6.517176,6.256621,5.699943,5.513650
Sto_207580,9.088888,8.639552,8.737479,8.968829,8.707241
Sto_399850,3.353069,3.177122,2.995053,3.635024,2.824346
Sto_112380,11.024960,11.037485,10.672163,10.954157,10.745755
Sto_348390,3.296120,2.946111,2.940229,2.907978,2.969658
Sto_338530,4.872492,4.842198,4.507103,4.850284,4.931371
Sto_239280,13.043389,13.698513,12.690043,12.474264,13.188565
Sto_080040,8.365862,9.211993,8.014029,8.321215,8.407633
Sto_057770,11.440176,11.476497,11.086761,11.365920,12.001450
Sto_159140,9.307211,9.128674,8.952532,9.645745,9.628446
Sto_283510,10.276931,10.139799,9.922949,9.509722,9.733260
Sto_114920,10.788013,10.255178,10.434297,10.170911,10.446905
Sto_070330,9.169834,8.754531,8.814125,8.209514,8.615014
Sto_338030,7.403867,7.244775,7.047572,7.288994,7.245553
Sto_337430,9.568092,9.163103,9.213932,9.090684,9.276544
Sto_045130,4.869833,4.655207,4.519012,3.182965,4.553069
Sto_259240,3.487713,3.078966,3.164852,2.323123,2.087333
Sto_085820,8.743270,8.574652,8.389167,8.888453,8.867348
Sto_091220,11.896773,10.108193,11.541487,11.107156,11.239882
Sto_083640,4.376145,4.577958,4.029682,3.717846,3.654839
Sto_273540,6.244541,6.198464,5.886505,6.355759,6.491655
Sto_177170,9.150319,8.816212,8.793260,9.063514,9.128126
Sto_122770,7.646654,7.360684,7.283993,7.159964,7.605189
Sto_151240,11.017420,10.808475,10.661134,10.341350,10.449036
Sto_130480,7.541180,7.879596,7.179998,6.985595,7.577291
Sto_052630,9.442815,9.222310,9.087039,9.718815,9.428799
Sto_094980,8.464977,8.071073,8.106782,7.818668,8.003963
Sto_048460,11.270442,11.409468,10.915016,11.038580,11.069286
Sto_064640,9.960393,9.878501,9.602773,9.932540,9.916166
Sto_255350,7.093616,7.163461,6.737303,6.465274,6.360159
Sto_338420,9.872465,9.927475,9.513956,9.771711,9.682511
Sto_236580,4.062945,4.573242,3.692037,3.205243,3.571617
Sto_064860,11.426314,11.762860,11.069006,11.022763,10.883818
Sto_081520,8.417854,7.687056,8.062934,7.814669,8.374611
Sto_207630,9.048273,8.902016,8.691377,8.837142,8.948931
Sto_270220,8.771372,8.496685,8.410308,7.916910,8.028212
Sto_105670,11.394503,10.335802,11.035362,11.053542,11.333079
Sto_269520,6.600471,6.535430,6.239003,5.437057,5.280731
Sto_163560,8.010082,8.174653,7.645323,7.767747,8.091341
Sto_000050,8.228323,8.387119,7.866897,8.131938,8.241488
Sto_150930,8.994053,8.857912,8.634459,8.815900,9.126725
Sto_068560,12.116320,11.472241,11.756237,11.924276,12.082277
Sto_102970,8.930421,8.719464,8.568121,8.131806,8.459421
Sto_301840,4.765874,3.566314,4.404389,4.999317,5.040935
Sto_180180,13.689750,13.395342,13.329505,14.914104,15.736355
Sto_238990,10.590655,10.086806,10.230756,9.701590,10.026838
Sto_034530,9.884236,9.578658,9.524198,9.615717,9.687068
Sto_112210,11.549912,12.142161,11.188496,11.218438,11.580202
Sto_177320,9.614817,8.524500,9.253889,9.162534,9.459827
Sto_009920,10.616558,9.846452,10.254432,10.181412,10.087300
Sto_413990,3.231578,3.572753,2.887572,1.602534,2.532072
Sto_248650,10.679310,10.368578,10.316987,10.266180,10.649840
Sto_052100,10.513659,10.195221,10.151268,9.776822,9.925407
Sto_170750,8.321917,7.821094,7.961039,8.000451,7.910799
Sto_016190,6.971136,5.718449,6.607523,7.256369,7.223686
Sto_240610,7.184286,6.081908,6.822745,7.612871,7.314864
Sto_050390,5.712433,4.988728,5.338236,5.649182,6.134469
Sto_171570,7.966440,9.141708,7.602984,7.663435,8.196678
Sto_189270,7.818843,7.967341,7.453386,7.673265,8.130954
Sto_291670,11.509492,11.287535,11.144856,10.815716,10.945159
Sto_019040,9.176751,8.959821,8.812476,9.101611,9.233891
Sto_178690,7.011471,6.852205,6.643262,6.661017,6.469035
Sto_318660,11.306942,10.812485,10.942336,11.409426,11.525211
Sto_386830,6.775172,5.887369,6.409136,7.572480,6.578050
Sto_026090,10.621621,10.532742,10.257706,10.271303,10.533517
Sto_291620,4.958411,4.881092,4.604960,3.734544,5.237944
Sto_013310,6.584128,6.280472,6.214726,5.422745,6.239065
Sto_387420,9.353881,9.830796,8.992297,9.291340,9.106642
Sto_308980,9.371323,9.625420,9.006336,9.419471,9.524431
Sto_338120,6.029652,6.170367,5.657948,5.408340,5.782928
Sto_081540,6.616622,6.268155,6.246134,6.231034,6.685316
Sto_298710,6.786928,7.330895,6.424044,7.213429,6.972107
Sto_145160,9.861868,9.919023,9.495925,9.408060,9.479475
Sto_051440,8.006556,8.491901,7.639722,6.763712,10.043694
Sto_219450,7.261796,9.088329,6.893029,6.945262,7.210894
Sto_041490,9.240565,9.379667,8.874630,9.113955,8.829705
Sto_246940,7.290806,9.242581,6.930316,6.178811,7.156186
Sto_133480,9.174087,8.713425,8.807488,8.977133,9.387708
Sto_338230,8.959788,9.099615,8.591652,8.914696,8.947371
Sto_158980,8.516185,7.633325,8.153296,8.195923,8.485862
Sto_104420,11.413467,11.487847,11.046463,10.542183,10.768026
Sto_237320,9.775904,9.460121,9.406699,9.468940,9.636159
Sto_128350,8.203247,8.074143,7.839047,8.188137,8.465590
Sto_263830,10.273862,9.804953,9.907158,10.082904,10.148073
Sto_262780,8.183143,7.416942,7.815334,8.292711,8.031727
Sto_065700,9.119700,9.598201,8.753066,9.008245,8.733368
Sto_218450,9.809872,9.422901,9.441918,9.407828,9.870735
Sto_177850,5.295576,4.590302,4.940428,5.010033,5.764418
Sto_264920,5.152183,4.809387,4.776502,5.618707,5.794235
Sto_396880,9.912075,9.719160,9.543304,9.712191,9.861047
Sto_177080,5.930132,5.307012,5.569740,6.262132,6.076563
Sto_260280,6.602033,6.134317,6.236555,6.204176,6.466196
Sto_323940,9.588139,9.724072,9.219912,9.377869,9.941774
Sto_049830,9.673239,8.553008,9.304650,10.151617,9.564638
Sto_009550,10.764248,10.499137,10.394399,10.197859,10.485404
Sto_252850,7.785269,7.558144,7.412296,7.735727,7.473184
Sto_362410,7.406004,8.355780,7.038707,6.926862,8.576985
Sto_200210,11.712827,11.932373,11.342297,11.014542,11.622910
Sto_356080,10.284554,9.666994,9.913392,9.295470,10.208652
Sto_349410,8.110911,7.773462,7.738999,6.659791,7.241080
Sto_356590,7.710533,8.674639,7.337539,7.640485,7.675438
Sto_342790,3.586924,3.147374,3.215670,2.597061,2.760853
Sto_098170,6.446937,6.826863,6.060721,6.970447,6.887739
Sto_166160,7.987799,7.414854,7.616564,8.731344,8.352726
Sto_396990,9.941751,9.920026,9.568751,9.758265,9.919124
Sto_056050,5.048296,4.478945,4.690030,5.325379,6.102889
Sto_073930,5.691359,4.768009,5.320886,6.119896,6.444223
Sto_024750,6.481167,6.535182,6.100102,5.097408,5.867675
Sto_165430,9.439423,8.715273,9.066553,9.164574,9.558968
Sto_380060,7.968868,7.621836,7.595358,7.312645,7.684456
Sto_340050,11.200831,10.698897,10.828083,10.885295,10.723370
Sto_182500,4.269738,3.239343,3.909886,3.244449,3.311802
Sto_186050,9.701464,8.629330,9.328671,9.385962,9.495109
Sto_219210,11.289801,10.939895,10.916461,11.280236,11.280660
Sto_057400,10.509873,9.552843,10.136488,10.107034,10.284885
Sto_052330,6.959358,8.586693,6.583622,5.689121,4.619982
Sto_063730,10.142453,8.294382,9.769427,9.563180,10.076277
Sto_335100,5.872318,5.595102,5.501863,6.449007,6.530665
Sto_021590,8.581209,8.317083,8.209180,7.857562,8.010123
Sto_074460,7.820113,7.645687,7.451601,7.798763,7.890485
Sto_353740,10.414029,10.481457,10.040233,9.827165,10.359253
Sto_038640,10.533820,10.844212,10.160316,10.348643,11.192294
Sto_264850,9.226481,8.584575,8.853019,7.940916,8.219670
Sto_184270,8.675603,8.452032,8.301348,8.620275,8.832640
Sto_176150,6.584132,5.895386,6.205367,6.587353,6.455850
Sto_049150,6.722728,7.952625,6.341383,6.358184,6.272164
Sto_125210,8.720638,8.511957,8.342459,8.091527,8.191873
Sto_030480,7.456167,5.805580,7.083243,7.179097,7.064216
Sto_353220,6.245814,6.087068,5.862499,5.770702,5.795579
Sto_222530,10.990553,10.516224,10.615182,10.723910,10.861788
Sto_289330,8.544172,7.472163,8.170469,8.283839,8.685097
Sto_397260,4.067482,3.512282,3.683505,3.138690,3.199365
Sto_112620,6.733421,5.718134,6.350146,5.932883,6.222038
Sto_263000,7.535161,6.791677,7.157005,7.233011,7.824609
Sto_024190,8.960489,8.680198,8.583151,8.632052,9.227574
Sto_032190,8.166997,7.642586,7.788549,8.130805,8.283473
Sto_012000,8.933086,8.643854,8.557727,9.370613,9.048280
Sto_075150,5.844143,4.794090,5.459448,5.960416,6.590890
Sto_046450,9.803920,9.751571,9.425874,8.858446,8.435077
Sto_002610,9.382732,9.555960,9.004364,9.444671,9.461022
Sto_134210,7.698116,7.388521,7.323282,8.090468,8.044857
Sto_269990,8.503166,8.364875,8.124922,8.220189,8.433347
Sto_382740,9.312115,8.775060,8.935827,9.228158,9.177094
Sto_029580,7.568411,7.206193,7.192167,8.588838,7.928894
Sto_238770,5.933163,5.553967,5.552967,5.102186,5.472073
